neuron_local_idx,neuron_global_idx,membership_count,coarse_overlap,detail_overlap,rr_label_single,preferred_class,selectivity_index,decoder_importance,ablation_effect_proxy,ablation_drop_actual,is_important_neuron,resp_Divergent,resp_Convergent,resp_Random
41,41,2,Shared_Core,Shared_Core,Shared_Core,Random,0.3301794220596378,0.004432462639545792,0.004432462639545792,,0,0.03409760531589941,0.09768078231779986,0.13084765180117555
42,42,1,Condition_Biased,Biased_Random,Random,Random,0.5083337275713623,0.005083337925865072,0.005083337925865072,-0.007407407407407307,1,0.048574284452048165,0.04584614299829044,0.14483148761921458
43,43,1,Condition_Biased,Biased_Convergent,Convergent,Random,0.2042927635724526,0.0037808928043683936,0.0037808928043683936,,0,0.05025334734711106,0.08451619198319142,0.10198599028366584
44,44,1,Condition_Biased,Biased_Random,Random,Random,0.5425161045097348,0.005109450003822163,0.005109450003822163,-0.007407407407407307,1,0.02888187150367432,0.031428628753890436,0.10167562053711326
45,45,1,Condition_Biased,Biased_Random,Random,Random,0.3192019548988987,0.00427648167320777,0.00427648167320777,,0,0.03823727712518087,0.09737580384881724,0.13139068393243683
46,46,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.2274843229283169,0.004613409748412398,0.004613409748412398,-0.007407407407407307,0,0.0802460039137966,0.08559484977925581,0.027492012932068773
47,47,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.2665914014476129,0.004193098125882135,0.004193098125882135,,0,0.03068677962248869,0.021909880540555433,0.013627938539893539
48,48,1,Condition_Biased,Biased_Random,Random,Random,0.39570834926524007,0.0042105737303354115,0.0042105737303354115,,0,0.028401715199126758,0.041273064847306286,0.08046253173163644
49,49,2,Shared_Core,Shared_Core,Shared_Core,Divergent,0.34688493274374976,0.0037982739305245437,0.0037982739305245437,,0,0.027085016219643876,0.020097840350692866,0.006169633224123606
50,50,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.43009353085469404,0.005044940079499091,0.005044940079499091,2.220446049250313e-16,1,0.08113385274083595,0.13116911025323644,0.023410532464859662
51,51,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.468835362156649,0.004905738543437564,0.004905738543437564,2.220446049250313e-16,1,0.08570971267073657,0.14618150790335324,0.020015475740311324
52,52,3,Shared_Core,Shared_Core,Shared_Core,Random,0.16289847083262687,0.004246369685751812,0.004246369685751812,,0,0.09246006995198075,0.07132477871580888,0.11376466499296603
53,53,3,Shared_Core,Shared_Core,Shared_Core,Random,0.1675657621988232,0.004299226240455399,0.004299226240455399,,0,0.09190044656430406,0.07453274188277426,0.11671894529351481
54,54,1,Condition_Biased,Biased_Random,Random,Random,0.1541701445361608,0.0045877053179683705,0.0045877053179683705,,0,0.06621635712131306,0.05907644811406653,0.08548363136748473
55,55,1,Condition_Biased,Biased_Random,Random,Random,0.13346719302540505,0.004730353496182907,0.004730353496182907,-0.007407407407407307,1,0.03901646577988113,0.035618352608893206,0.04881299208780682
56,56,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.25246821270596936,0.004113133995218513,0.004113133995218513,,0,0.12182125021677671,0.1420273234841054,0.047715889155450796
57,57,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.21290042592497996,0.003915989325973545,0.003915989325973545,,0,0.08490469146744106,0.10123050902728681,0.04648035686049196
