Trial_Index,Class_ID,Class_Name,Gini,Participation_Ratio,Participation_Ratio_Norm
57,2,Convergent,0.5612982267875295,55.878458937709155,0.07859136278158813
58,2,Convergent,0.6084122268232373,74.02085845098681,0.10410809908718258
59,2,Convergent,0.6412330418766918,60.75221782572314,0.08544615727949809
60,2,Convergent,0.6363962337797779,77.36123658080649,0.10880623991674612
61,2,Convergent,0.6839481866558896,62.72159189631055,0.0882160223576801
62,2,Convergent,0.7104191574461607,56.69727133405565,0.07974299765689964
63,2,Convergent,0.6488509911366409,51.01288801493303,0.07174808440918852
64,2,Convergent,0.602827406656884,63.559389115493936,0.08939435881222776
65,2,Convergent,0.6967017508500304,47.98042630111038,0.06748301870760953
66,2,Convergent,0.660307410687377,79.45314554235706,0.11174844661372302
67,2,Convergent,0.6716820441253437,53.84675046320752,0.07573382624923702
68,2,Convergent,0.5727107180054494,82.87995451843618,0.11656814981495947
69,2,Convergent,0.5700850276922842,56.71521810861246,0.0797682392526195
70,2,Convergent,0.7767766451073286,30.890158167991174,0.04344607337270207
71,2,Convergent,0.6534888218387525,28.569353320828053,0.040181931534216675
72,2,Convergent,0.4767767216564618,130.3108755002472,0.18327830590752067
73,2,Convergent,0.6916990984428177,50.17621271326297,0.07057132589769757
74,2,Convergent,0.6027423872379467,35.94369073490083,0.050553714113784565
75,2,Convergent,0.7264659613160107,43.814425492779854,0.06162366454680711
76,2,Convergent,0.7714476520521643,24.193212486081837,0.03402702178070582
77,2,Convergent,0.592093893807119,73.89537773599035,0.10393161425596392
78,2,Convergent,0.5819685468898306,66.32410626769381,0.09328284988423882
79,2,Convergent,0.5951043059605665,84.82711597847072,0.1193067735280882
80,2,Convergent,0.5761715942294943,43.421668642121375,0.06107126391296958
81,2,Convergent,0.6508260795329133,53.4112628566464,0.07512132609936203
82,2,Convergent,0.5652050845141667,45.65599775733688,0.06421378024941896
83,2,Convergent,0.8262370693876255,43.068363873750265,0.06057435143987379
84,2,Convergent,0.7193786242890314,49.237843746752034,0.06925153832173282
85,2,Convergent,0.6426664764635277,50.16170985529864,0.0705509280665241
86,3,Random,0.5999556809366349,88.91250611189675,0.12505275121223172
87,3,Random,0.6632914159821253,29.83463358067454,0.04196150995875463
88,3,Random,0.7316972238806942,37.99459822975904,0.05343825348770611
89,3,Random,0.7993321708795,34.257691295858926,0.048182406885877535
90,3,Random,0.6370112522012779,62.965795454399796,0.08855948727763685
91,3,Random,0.6400657446192368,43.30129059897949,0.0609019558354142
92,3,Random,0.7518870763242578,47.68240930012532,0.06706386680748991
93,3,Random,0.6529013683205853,26.836222740766946,0.03774433578166941
94,3,Random,0.83010058161471,7.991906360072378,0.011240374627387311
95,3,Random,0.661928146993108,52.03563638520042,0.0731865490649795
96,3,Random,0.6712293399652571,60.10645781494954,0.08453791535154648
97,3,Random,0.7062039416714656,43.88794814373191,0.061727071932112396
98,3,Random,0.6915761891413064,34.87623210019292,0.04905236582305615
99,3,Random,0.6453128662010896,74.91436378029942,0.10536478731406389
100,3,Random,0.6771366226347155,41.56028525063373,0.05845328445940047
101,3,Random,0.806628580519259,27.063226141708565,0.03806360920071528
102,3,Random,0.7007063782777838,37.374392277228516,0.052565952569941655
103,3,Random,0.756538554876762,17.782802351441717,0.02501097377136669
104,3,Random,0.6155043109837821,85.28499544053088,0.11995076714561305
105,3,Random,0.652537557470027,94.44969229404302,0.13284063613789454
106,3,Random,0.7561557454302972,53.04301885880135,0.07460340205175998
107,3,Random,0.7016870150182632,19.905439861988413,0.02799639924330297
108,3,Random,0.7797684595182262,24.47608757918952,0.03442487704527359
109,3,Random,0.5824314885988506,63.10165541434202,0.08875057020301269
110,3,Random,0.7686511499100395,9.279886018126176,0.01305187906909448
111,3,Random,0.7772139492224126,12.842730415809985,0.018062911977229233
112,3,Random,0.7355053219545482,12.699269966639335,0.017861139193585562
113,3,Random,0.7142417135570198,50.2070147555198,0.07061464803870576
114,3,Random,0.733578643211217,51.53697398363498,0.07248519547627987
115,3,Random,0.7375752929878163,31.3640647521363,0.04411260865279367
116,3,Random,0.5739383356646475,30.359294522542392,0.04269942970821715
117,3,Random,0.7075522847001938,35.61641879201411,0.05009341602252336
