level_type,level,observed_count,expected_count,observed_prop,expected_prop,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,n_important_edges,n_total_edges,p_fdr_bh,mouse_id
decile,D7,184,254.3500098328417,0.0723554856468737,0.1000196656833825,0.7234125924315269,-0.4671093836854598,0.9999998597354228,2.0946237367349694e-07,4.189247473469939e-07,2543,25425,4.654719414966599e-07,M71_1024
decile,D8,325,254.2499901671583,0.1278018088871411,0.0999803343166175,1.278269469285234,0.3541919998498353,1.0514891308963036e-06,0.999999240167938,2.102978261792607e-06,2543,25425,2.102978261792607e-06,M71_1024
decile,D9,508,254.3500098328417,0.1997640581989775,0.1000196656833825,1.9972478095392157,0.998013347016976,5.412370387826589e-58,1.0,1.0824740775653176e-57,2543,25425,2.7061851939132944e-57,M71_1024
decile,D10,1066,254.2499901671583,0.419189933149823,0.0999803343166175,4.192723859255567,2.0678878146853474,0.0,1.0,0.0,2543,25425,0.0,M71_1024
regime,WeakTail_D1D2,70,508.6,0.027526543452615,0.2,0.1376327172623869,-2.86110463481258,1.0,1.5765702594887398e-162,3.1531405189774797e-162,2543,25425,,M71_1024
regime,StrongTail_D9D10,1574,508.6,0.6189539913488006,0.2,3.0947699567285287,1.6298321736998596,0.0,1.0,0.0,2543,25425,,M71_1024
decile,D1,417,1313.3200003045808,0.0317520749257595,0.1000015229044834,0.3175159137903335,-1.655099193756984,1.0,3.137257090478104e-214,6.274514180956208e-214,13133,131328,3.137257090478104e-213,M73_1128
decile,D2,518,1313.3200003045808,0.0394426254473463,0.1000015229044834,0.3944202478258818,-1.342194479523953,1.0,2.0137140070204168e-162,4.0274280140408335e-162,13133,131328,1.3424760046802778e-161,M73_1128
decile,D3,660,1313.3200003045808,0.05025508261631,0.1000015229044834,0.5025431729055638,-0.9926805529725607,1.0,4.899201947781537e-105,9.798403895563076e-105,13133,131328,1.9596807791126153e-104,M73_1128
decile,D4,770,1313.3200003045808,0.0586309297190284,0.1000015229044834,0.5863003683898245,-0.770288131640214,1.0,6.5138606152439435e-71,1.3027721230487887e-70,13133,131328,2.1712868717479816e-70,M73_1128
decile,D5,997,1313.2199987816764,0.0759156323764562,0.0999939083820662,0.7592025714769679,-0.3974432159830101,1.0,6.1285406989283435e-24,1.2257081397856688e-23,13133,131328,1.5321351747320858e-23,M73_1128
decile,D6,1123,1313.3200003045808,0.0855097845122972,0.1000015229044834,0.8550848229893153,-0.2258605548296111,0.9999999987919664,1.4685519792828859e-09,2.9371039585657718e-09,13133,131328,3.263448842850857e-09,M73_1128
decile,D7,1323,1313.3200003045808,0.1007385974263306,0.1000015229044834,1.0073706329606984,0.0105945790459139,0.3880266231296252,0.6236443284517097,0.7760532462592505,13133,131328,0.7760532462592505,M73_1128
decile,D8,1671,1313.3200003045808,0.1272367318967486,0.1000015229044834,1.2723479423109043,0.3474932508254426,1.432547710002982e-26,1.0,2.865095420005964e-26,13133,131328,4.092993457151377e-26,M73_1128
decile,D9,2082,1313.3200003045808,0.1585319424350872,0.1000015229044834,1.585295281802097,0.6647515860614335,1.453791336614466e-108,1.0,2.907582673228932e-108,13133,131328,7.26895668307233e-108,M73_1128
