ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base,mouse_id
random,0.03,447,7,0.7818181818181819,0.1012320793241822,0.6848484848484849,0.1065357323105875,0.0969696969696969,M77_1107
top,0.05,744,-1,0.7818181818181819,0.1012320793241822,0.7454545454545455,0.0545454545454545,0.0363636363636363,M77_1107
random,0.05,744,0,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.0481045692920834,0.0181818181818181,M77_1107
random,0.05,744,1,0.7818181818181819,0.1012320793241822,0.7757575757575758,0.0277731860300354,0.0060606060606061,M77_1107
random,0.05,744,2,0.7818181818181819,0.1012320793241822,0.7818181818181819,0.0481045692920834,0.0,M77_1107
random,0.05,744,3,0.7818181818181819,0.1012320793241822,0.7212121212121212,0.1210605112450799,0.0606060606060606,M77_1107
random,0.05,744,4,0.7818181818181819,0.1012320793241822,0.7757575757575758,0.0104972776216295,0.0060606060606061,M77_1107
random,0.05,744,5,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.0629836657297773,0.0181818181818181,M77_1107
random,0.05,744,6,0.7818181818181819,0.1012320793241822,0.7272727272727272,0.0363636363636363,0.0545454545454546,M77_1107
random,0.05,744,7,0.7818181818181819,0.1012320793241822,0.7212121212121212,0.0734809433514069,0.0606060606060606,M77_1107
top,0.01,2632,-1,0.9047619047619048,0.0629940788348711,0.9047619047619048,0.0412393049421161,0.0,M78_1017
random,0.01,2632,0,0.9047619047619048,0.0629940788348711,0.873015873015873,0.049563476177765,0.0317460317460317,M78_1017
random,0.01,2632,1,0.9047619047619048,0.0629940788348711,0.8571428571428572,0.0476190476190476,0.0476190476190475,M78_1017
random,0.01,2632,2,0.9047619047619048,0.0629940788348711,0.8968253968253967,0.0137464349807053,0.007936507936508,M78_1017
random,0.01,2632,3,0.9047619047619048,0.0629940788348711,0.873015873015873,0.049563476177765,0.0317460317460317,M78_1017
random,0.01,2632,4,0.9047619047619048,0.0629940788348711,0.8333333333333334,0.0952380952380952,0.0714285714285714,M78_1017
random,0.01,2632,5,0.9047619047619048,0.0629940788348711,0.8333333333333334,0.0858464589396187,0.0714285714285714,M78_1017
random,0.01,2632,6,0.9047619047619048,0.0629940788348711,0.865079365079365,0.049563476177765,0.0396825396825397,M78_1017
random,0.01,2632,7,0.9047619047619048,0.0629940788348711,0.8492063492063492,0.0549857399228214,0.0555555555555555,M78_1017
top,0.03,7896,-1,0.9047619047619048,0.0629940788348711,0.8888888888888888,0.0363696483726654,0.0158730158730159,M78_1017
random,0.03,7896,0,0.9047619047619048,0.0629940788348711,0.8809523809523809,0.0412393049421161,0.0238095238095238,M78_1017
random,0.03,7896,1,0.9047619047619048,0.0629940788348711,0.8571428571428572,0.0714285714285714,0.0476190476190475,M78_1017
random,0.03,7896,2,0.9047619047619048,0.0629940788348711,0.8968253968253967,0.0137464349807053,0.007936507936508,M78_1017
random,0.03,7896,3,0.9047619047619048,0.0629940788348711,0.888888888888889,0.0363696483726654,0.0158730158730158,M78_1017
random,0.03,7896,4,0.9047619047619048,0.0629940788348711,0.8253968253968255,0.0836162996258153,0.0793650793650793,M78_1017
random,0.03,7896,5,0.9047619047619048,0.0629940788348711,0.8492063492063492,0.0765369108015314,0.0555555555555555,M78_1017
random,0.03,7896,6,0.9047619047619048,0.0629940788348711,0.865079365079365,0.049563476177765,0.0396825396825397,M78_1017
random,0.03,7896,7,0.9047619047619048,0.0629940788348711,0.880952380952381,0.0824786098842322,0.0238095238095237,M78_1017
top,0.05,13159,-1,0.9047619047619048,0.0629940788348711,0.8809523809523809,0.0238095238095238,0.0238095238095238,M78_1017
random,0.05,13159,0,0.9047619047619048,0.0629940788348711,0.8730158730158729,0.0727392967453307,0.0317460317460318,M78_1017
random,0.05,13159,1,0.9047619047619048,0.0629940788348711,0.8571428571428572,0.0476190476190476,0.0476190476190475,M78_1017
random,0.05,13159,2,0.9047619047619048,0.0629940788348711,0.8968253968253967,0.0137464349807053,0.007936507936508,M78_1017
random,0.05,13159,3,0.9047619047619048,0.0629940788348711,0.865079365079365,0.0599193209148472,0.0396825396825397,M78_1017
random,0.05,13159,4,0.9047619047619048,0.0629940788348711,0.8333333333333334,0.0952380952380952,0.0714285714285714,M78_1017
random,0.05,13159,5,0.9047619047619048,0.0629940788348711,0.8333333333333334,0.0858464589396187,0.0714285714285714,M78_1017
random,0.05,13159,6,0.9047619047619048,0.0629940788348711,0.865079365079365,0.049563476177765,0.0396825396825397,M78_1017
random,0.05,13159,7,0.9047619047619048,0.0629940788348711,0.8492063492063492,0.0765369108015314,0.0555555555555555,M78_1017
top,0.01,665,-1,0.4727272727272726,0.0314918328648886,0.4484848484848485,0.037848472717566,0.0242424242424241,M79_1128
random,0.01,665,0,0.4727272727272726,0.0314918328648886,0.4666666666666666,0.0839782209730364,0.006060606060606,M79_1128
random,0.01,665,1,0.4727272727272726,0.0314918328648886,0.509090909090909,0.0363636363636363,-0.0363636363636363,M79_1128
random,0.01,665,2,0.4727272727272726,0.0314918328648886,0.4424242424242424,0.037848472717566,0.0303030303030302,M79_1128
random,0.01,665,3,0.4727272727272726,0.0314918328648886,0.5333333333333333,0.0104972776216295,-0.0606060606060606,M79_1128
random,0.01,665,4,0.4727272727272726,0.0314918328648886,0.5272727272727272,0.0181818181818181,-0.0545454545454545,M79_1128
random,0.01,665,5,0.4727272727272726,0.0314918328648886,0.5393939393939394,0.0756969454351321,-0.0666666666666667,M79_1128
random,0.01,665,6,0.4727272727272726,0.0314918328648886,0.5272727272727272,0.0363636363636363,-0.0545454545454545,M79_1128
random,0.01,665,7,0.4727272727272726,0.0314918328648886,0.5090909090909091,0.0314918328648886,-0.0363636363636364,M79_1128
top,0.03,1993,-1,0.4727272727272726,0.0314918328648886,0.4545454545454545,0.0481045692920834,0.0181818181818181,M79_1128
random,0.03,1993,0,0.4727272727272726,0.0314918328648886,0.4727272727272726,0.0655554777357089,0.0,M79_1128
random,0.03,1993,1,0.4727272727272726,0.0314918328648886,0.5151515151515151,0.037848472717566,-0.0424242424242424,M79_1128
