mouse_id,Condition,Decile_Index,Mean_Correlation
M77_1031,Convergent,6,0.19302610573167162
M77_1031,Convergent,7,0.21424065673475312
M77_1031,Convergent,8,0.2388097544442252
M77_1031,Convergent,9,0.2715133154603241
M77_1031,Convergent,10,0.3577016284940721
M77_1031,Random,1,0.033477012969522
M77_1031,Random,2,0.07491093624908952
M77_1031,Random,3,0.10225867121958503
M77_1031,Random,4,0.12577990836580424
M77_1031,Random,5,0.14819460024780326
M77_1031,Random,6,0.1710949883073008
M77_1031,Random,7,0.19532514798408862
M77_1031,Random,8,0.22333341485382752
M77_1031,Random,9,0.25944185583942947
M77_1031,Random,10,0.34866347992615826
M77_1107,Divergent,1,0.059119972869999905
M77_1107,Divergent,2,0.10023588512641272
M77_1107,Divergent,3,0.12624650632797288
M77_1107,Divergent,4,0.14924582979677797
M77_1107,Divergent,5,0.1699368048306346
M77_1107,Divergent,6,0.19174878700573622
M77_1107,Divergent,7,0.21490835491762694
M77_1107,Divergent,8,0.2423548046197046
M77_1107,Divergent,9,0.2776149930288399
M77_1107,Divergent,10,0.40155469944863753
M77_1107,Convergent,1,0.07434790085144635
M77_1107,Convergent,2,0.11998095320893375
M77_1107,Convergent,3,0.14650184565299582
M77_1107,Convergent,4,0.1692467638831013
M77_1107,Convergent,5,0.19021406306171826
M77_1107,Convergent,6,0.21068256164021165
M77_1107,Convergent,7,0.23124169939515488
M77_1107,Convergent,8,0.25434856350075685
M77_1107,Convergent,9,0.2836963714203486
M77_1107,Convergent,10,0.4002164832206066
M77_1107,Random,1,0.03648407166034013
M77_1107,Random,2,0.086535536641416
M77_1107,Random,3,0.11787344779660607
M77_1107,Random,4,0.14351095516117915
M77_1107,Random,5,0.1670145379386544
M77_1107,Random,6,0.1900027601736397
M77_1107,Random,7,0.2146607900423833
M77_1107,Random,8,0.24132531477454783
M77_1107,Random,9,0.27688567171387507
M77_1107,Random,10,0.39842008505067383
M78_1017,Divergent,1,0.0632244803414611
M78_1017,Divergent,2,0.10423760254775939
M78_1017,Divergent,3,0.12869577169633847
M78_1017,Divergent,4,0.14902746231040118
M78_1017,Divergent,5,0.1682389932479949
M78_1017,Divergent,6,0.18754579583750872
M78_1017,Divergent,7,0.20868998433881866
M78_1017,Divergent,8,0.2337478012829011
M78_1017,Divergent,9,0.26791319339160186
M78_1017,Divergent,10,0.3565265633724112
M78_1017,Convergent,1,0.05414161326001762
M78_1017,Convergent,2,0.10014098858467337
M78_1017,Convergent,3,0.12786842308985447
M78_1017,Convergent,4,0.1505919949349245
M78_1017,Convergent,5,0.17137981218346646
M78_1017,Convergent,6,0.1919449254415197
M78_1017,Convergent,7,0.2139313759729923
M78_1017,Convergent,8,0.23961565525262682
M78_1017,Convergent,9,0.2728464452579384
M78_1017,Convergent,10,0.356956425139626
M78_1017,Random,1,0.06333526825173731
M78_1017,Random,2,0.10780416163945988
M78_1017,Random,3,0.13458121412091056
M78_1017,Random,4,0.157134541490356
M78_1017,Random,5,0.1780362547257617
M78_1017,Random,6,0.1989140475856867
M78_1017,Random,7,0.22153657713618885
M78_1017,Random,8,0.24746228960291589
M78_1017,Random,9,0.28152713244990163
M78_1017,Random,10,0.36438828295997927
M79_1128,Divergent,1,0.11004534201401996
M79_1128,Divergent,2,0.15641499906219697
M79_1128,Divergent,3,0.1824430077120523
M79_1128,Divergent,4,0.20354935930962223
M79_1128,Divergent,5,0.22292796490512312
M79_1128,Divergent,6,0.24228478188906644
M79_1128,Divergent,7,0.2632051860004668
M79_1128,Divergent,8,0.2868892529558481
M79_1128,Divergent,9,0.3184368947816371
M79_1128,Divergent,10,0.4088454474847075
