mouse_id,Condition,Network_Type,Value,Metric
M79_1128,Convergent,strong_threshold,0.3980144154607214,efficiency
M79_1128,Convergent,weak_threshold,0.2384913944501835,efficiency
M79_1128,Random,strong_threshold,0.383450517193301,efficiency
M79_1128,Random,weak_threshold,0.3787207085153971,efficiency
M79_1128,Divergent,strong_threshold,0.3200452733897486,modularity
M79_1128,Divergent,weak_threshold,0.2479365075858595,modularity
M79_1128,Convergent,strong_threshold,0.2443178006670821,modularity
M79_1128,Convergent,weak_threshold,0.253288885006939,modularity
M79_1128,Random,strong_threshold,0.2981725855948031,modularity
M79_1128,Random,weak_threshold,0.1998641678775334,modularity
M79_1128,Divergent,strong_threshold,0.7699589427075827,local_efficiency
M79_1128,Divergent,weak_threshold,0.117645720138836,local_efficiency
M79_1128,Convergent,strong_threshold,0.7836927877013815,local_efficiency
M79_1128,Convergent,weak_threshold,0.0584757639387967,local_efficiency
M79_1128,Random,strong_threshold,0.7755980366749994,local_efficiency
M79_1128,Random,weak_threshold,0.234513392137827,local_efficiency
M79_1128,Divergent,strong_threshold,0.6329761646090324,avg_clustering
M79_1128,Divergent,weak_threshold,0.07159080652786,avg_clustering
M79_1128,Convergent,strong_threshold,0.6469094448089199,avg_clustering
M79_1128,Convergent,weak_threshold,0.034836482233176,avg_clustering
M79_1128,Random,strong_threshold,0.64749808738487,avg_clustering
M79_1128,Random,weak_threshold,0.1273919928549474,avg_clustering
M91_1017,Divergent,strong_threshold,0.4654179547795951,efficiency
M91_1017,Divergent,weak_threshold,0.1787779596290232,efficiency
M91_1017,Convergent,strong_threshold,0.4727204946353427,efficiency
M91_1017,Convergent,weak_threshold,0.2707916590895831,efficiency
M91_1017,Random,strong_threshold,0.433946172031232,efficiency
M91_1017,Random,weak_threshold,0.3733012062799181,efficiency
M91_1017,Divergent,strong_threshold,0.1786540343471645,modularity
M91_1017,Divergent,weak_threshold,0.2881430469779651,modularity
M91_1017,Convergent,strong_threshold,0.1832193468419375,modularity
M91_1017,Convergent,weak_threshold,0.2702753047879652,modularity
M91_1017,Random,strong_threshold,0.1723689283999279,modularity
M91_1017,Random,weak_threshold,0.2180546531376303,modularity
M91_1017,Divergent,strong_threshold,0.7814580461929369,local_efficiency
M91_1017,Divergent,weak_threshold,0.2141311432409201,local_efficiency
M91_1017,Convergent,strong_threshold,0.7668209856389324,local_efficiency
M91_1017,Convergent,weak_threshold,0.1186167190025064,local_efficiency
M91_1017,Random,strong_threshold,0.725203065003973,local_efficiency
M91_1017,Random,weak_threshold,0.4017812929652668,local_efficiency
M91_1017,Divergent,strong_threshold,0.6610753353067015,avg_clustering
M91_1017,Divergent,weak_threshold,0.1550601370385858,avg_clustering
M91_1017,Convergent,strong_threshold,0.642954140375685,avg_clustering
M91_1017,Convergent,weak_threshold,0.0735151159334035,avg_clustering
M91_1017,Random,strong_threshold,0.6101858309768776,avg_clustering
M91_1017,Random,weak_threshold,0.2655240944064044,avg_clustering
