level_type,overlap_category,n_neurons,n_important_neurons,important_fraction,mean_selectivity_index,sem_selectivity_index,mean_decoder_importance,sem_decoder_importance,mean_ablation_effect_proxy,sem_ablation_effect_proxy,n_actual_ablation_eval,mean_ablation_drop_actual,sem_ablation_drop_actual,mouse_id
detail,Biased_Random,34,5,0.1470588235294074,0.2848553342718142,0.0272395966381266,0.005654574305536,9.184882407714308e-05,0.005654574305536,9.184882407714308e-05,9,0.0114478114478114,0.0038389744952832,M77_1107
detail,Shared_Core,79,17,0.2151898734177188,0.2029544012397633,0.0103110031515644,0.0058472115345712,4.473429573377018e-05,0.0058472115345712,4.473429573377018e-05,30,0.0137373737373737,0.0015357934437342,M77_1107
coarse,Condition_Biased,404,77,0.1905940594059401,0.2977437247127622,0.0094321113231268,0.0013644932469683,6.283391035050471e-06,0.0013644932469683,6.283391035050471e-06,30,0.0079365079365079,0.0016586762526279,M78_1017
coarse,Shared_Core,322,69,0.2142857142857136,0.2175517176005522,0.0071837897724787,0.0013936171683983,6.544261851020768e-06,0.0013936171683983,6.544261851020768e-06,30,0.0058201058201058,0.001741021045515,M78_1017
detail,Biased_Convergent,101,22,0.2178217821782156,0.2648933407692194,0.013146029842985,0.001381514273998,1.2867871198740733e-05,0.001381514273998,1.2867871198740733e-05,11,0.0072150072150071,0.002258654522727,M78_1017
detail,Biased_Divergent,137,19,0.1386861313868603,0.36615075973151,0.020289541737224,0.0013389820801261,9.588304391057602e-06,0.0013389820801261,9.588304391057602e-06,3,0.0052910052910052,0.0069993420927634,M78_1017
detail,Biased_Random,166,36,0.2168674698795167,0.2612745980906499,0.0122318513160606,0.0013751914766513,1.029899026543257e-05,0.0013751914766513,1.029899026543257e-05,16,0.0089285714285714,0.0024966383714519,M78_1017
detail,Shared_Core,322,69,0.2142857142857136,0.2175517176005522,0.0071837897724787,0.0013936171683983,6.544261851020768e-06,0.0013936171683983,6.544261851020768e-06,30,0.0058201058201058,0.001741021045515,M78_1017
coarse,Condition_Biased,154,31,0.2012987012987,0.1387152784652643,0.0070513910949378,0.002734840489733,1.6019545731897806e-05,0.002734840489733,1.6019545731897806e-05,30,-0.0058585858585858,0.0016304661282301,M79_1128
coarse,Shared_Core,211,42,0.1990521327014208,0.108436182912376,0.0045184890887742,0.0027432917752635,1.2725626529875096e-05,0.0027432917752635,1.2725626529875096e-05,30,-0.0044444444444444,0.0012973626534314,M79_1128
detail,Biased_Convergent,70,12,0.171428571428569,0.1447677620326286,0.0112873540862246,0.0027414026725717,2.24634109325646e-05,0.0027414026725717,2.24634109325646e-05,12,-0.0030303030303029,0.0017495462702715,M79_1128
detail,Biased_Divergent,57,14,0.2456140350877149,0.1173133820347634,0.0092861564717126,0.002716394077625,2.8550897991222397e-05,0.002716394077625,2.8550897991222397e-05,13,-0.006060606060606,0.0028293926116601,M79_1128
detail,Biased_Random,27,5,0.1851851851851783,0.1682054357550068,0.0180526671908556,0.0027567698486752,3.721065041227435e-05,0.0027567698486752,3.721065041227435e-05,5,-0.012121212121212,0.0042854956435548,M79_1128
detail,Shared_Core,211,42,0.1990521327014208,0.108436182912376,0.0045184890887742,0.0027432917752635,1.2725626529875096e-05,0.0027432917752635,1.2725626529875096e-05,30,-0.0044444444444444,0.0012973626534314,M79_1128
coarse,Condition_Biased,122,27,0.2213114754098342,0.2681097446542811,0.0128941659714803,0.0042676197815783,4.586483802320868e-05,0.0042676197815783,4.586483802320868e-05,30,-0.0039506172839505,0.0012165565670151,M91_1017
coarse,Shared_Core,113,20,0.1769911504424763,0.1969890516335847,0.0093833824810277,0.0042420388198844,4.3334865957895975e-05,0.0042420388198844,4.3334865957895975e-05,30,-0.0034567901234567,0.0008504038136523,M91_1017
detail,Biased_Convergent,40,4,0.0999999999999975,0.2432461607056701,0.0162013972240235,0.0040809480132791,7.578723244178935e-05,0.0040809480132791,7.578723244178935e-05,4,-0.0037037037037035,0.0021383343303319,M91_1017
detail,Biased_Divergent,36,11,0.305555555555547,0.2916871298636805,0.0227404628605779,0.004349056486352,8.866425331220532e-05,0.004349056486352,8.866425331220532e-05,11,-0.0026936026936026,0.0026936026936026,M91_1017
detail,Biased_Random,46,12,0.2608695652173856,0.2712783857500652,0.0255193583347873,0.004366209985059,6.987875188504392e-05,0.004366209985059,6.987875188504392e-05,15,-0.0049382716049381,0.0013842269397071,M91_1017
detail,Shared_Core,113,20,0.1769911504424763,0.1969890516335847,0.0093833824810277,0.0042420388198844,4.3334865957895975e-05,0.0042420388198844,4.3334865957895975e-05,30,-0.0034567901234567,0.0008504038136523,M91_1017
