rank,edge_idx,neuron_i_local,neuron_j_local,neuron_i_global,neuron_j_global,layer_i,layer_j,layer_pair,strength_decile,corr_mean,edge_importance,edge_importance_raw
61,1366,8,27,8,27,DepthMid,DepthHigh,DepthHigh--DepthMid,9,0.21917346890108322,0.00022074557669282197,0.01516649376665772
62,1482,8,143,8,143,DepthMid,DepthLow,DepthLow--DepthMid,5,0.10497293800297564,0.00022063311529366066,0.015158767020170097
63,9706,70,152,70,152,DepthLow,DepthLow,DepthLow--DepthLow,9,0.21541662394421066,0.00021994928253564014,0.01511178376724455
64,9397,67,152,67,152,DepthLow,DepthLow,DepthLow--DepthLow,9,0.1905800112228573,0.00021665252700062333,0.01488527765545231
65,2318,14,16,14,16,DepthMid,DepthMid,DepthMid--DepthMid,10,0.749332253988132,0.00021652817658236387,0.014876734064809776
66,8610,60,121,60,121,DepthMid,DepthMid,DepthMid--DepthMid,8,0.17132590652337484,0.00021399870894911647,0.01470294505545629
67,11392,89,90,89,90,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8769096907914282,0.00021383563295075033,0.014691740794198757
68,7620,52,55,52,55,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7197189029091879,0.00021354070046312898,0.014671477231947094
69,8777,62,67,62,67,DepthLow,DepthLow,DepthLow--DepthLow,9,0.19921921030269327,0.000213519958870408,0.01467005216494722
70,9107,65,73,65,73,DepthHigh,DepthMid,DepthHigh--DepthMid,8,0.17351228812874497,0.00021324795184638314,0.014651363714215087
71,4001,25,27,25,27,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6147510541101822,0.00021224835137887292,0.014582685399175784
72,8568,60,79,60,79,DepthMid,DepthHigh,DepthHigh--DepthMid,6,0.11989885164105278,0.00021206819665180973,0.014570307730794053
73,6811,45,107,45,107,DepthHigh,DepthLow,DepthHigh--DepthLow,8,0.17236516822220607,0.00021078348618883225,0.014482040715342951
74,3404,21,24,21,24,DepthHigh,DepthHigh,DepthHigh--DepthHigh,9,0.21617406851050258,0.00020813724589375534,0.01430022875090114
75,11308,88,89,88,89,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7026302814232003,0.00020533164121684704,0.014107467534656035
76,2730,16,115,16,115,DepthMid,DepthMid,DepthMid--DepthMid,7,0.15334898258374885,0.0002000192469912806,0.013742475424212981
77,14846,164,169,164,169,DepthLow,DepthLow,DepthLow--DepthLow,10,0.771110105788472,0.00019926412857193527,0.013690594435376562
78,14845,164,168,164,168,DepthLow,DepthLow,DepthLow--DepthLow,10,0.776355198748493,0.0001988660968081497,0.01366324735846192
79,1296,7,121,7,121,DepthMid,DepthMid,DepthMid--DepthMid,7,0.1413499336711755,0.000198232132896379,0.013619690382778842
80,7356,49,154,49,154,DepthHigh,DepthHigh,DepthHigh--DepthHigh,4,0.09403995182343695,0.00019644588738441203,0.013496965017999886
81,7790,53,106,53,106,DepthHigh,DepthLow,DepthHigh--DepthLow,4,0.09008191617190278,0.00019633645617632856,0.013489446463109045
82,14012,130,168,130,168,DepthHigh,DepthLow,DepthHigh--DepthLow,7,0.14260678247719213,0.00019185091909013703,0.013181264205158288
83,2613,15,154,15,154,DepthMid,DepthHigh,DepthHigh--DepthMid,4,0.09991173276753934,0.0001912723467810645,0.013141512951925612
84,2791,17,21,17,21,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.4404608554839095,0.00019013926163282546,0.013063663469751055
85,1364,8,25,8,25,DepthMid,DepthHigh,DepthHigh--DepthMid,7,0.14831942601745507,0.0001887017826611469,0.012964900377007402
86,1427,8,88,8,88,DepthMid,DepthLow,DepthLow--DepthMid,4,0.09278904971886744,0.0001877528855507607,0.01289970567491877
87,8900,63,81,63,81,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7090678740650881,0.00018684781204533085,0.012837521907143571
88,11490,90,106,90,106,DepthLow,DepthLow,DepthLow--DepthLow,7,0.15635048669206583,0.00018581915106818703,0.012766846967552073
89,8884,63,65,63,65,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.796519473897368,0.0001856544657219105,0.012755532134814842
90,515,3,6,3,6,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7577705904352052,0.000182957931692076,0.0125702647008405
91,850,5,6,5,6,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8081673441291779,0.00018175163200350407,0.012487384957646796
92,12967,110,153,110,153,DepthLow,DepthLow,DepthLow--DepthLow,8,0.15675907877232345,0.00018125793281152715,0.012453464976871184
93,10419,78,85,78,85,DepthLow,DepthLow,DepthLow--DepthLow,10,0.5527509562056538,0.00018115227310891644,0.012446205546149896
94,7128,48,49,48,49,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8937599692886958,0.00018063244188829,0.012410490144349043
95,4353,27,88,27,88,DepthHigh,DepthLow,DepthHigh--DepthLow,6,0.13562438310804376,0.00018031731009601824,0.012388838773414367
96,1460,8,121,8,121,DepthMid,DepthMid,DepthMid--DepthMid,7,0.15613140815280244,0.000179507384088321,0.012333192187280106
97,14844,164,167,164,167,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8069254381895126,0.0001791799199813882,0.012310693515229652
98,2327,14,25,14,25,DepthMid,DepthHigh,DepthHigh--DepthMid,6,0.13362130383348295,0.0001778617686836172,0.012220128921634304
99,14868,168,169,168,169,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7785250494765272,0.00017776584055730375,0.012213538106309364
100,11952,96,97,96,97,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9193042643120065,0.00017752326849499375,0.01219687200714621
101,12029,97,99,97,99,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9333443658805817,0.00017680029425598908,0.012147199508817617
